 name, reviews, rating, fulladdr, latitude, longitude, categories, working_days, service_options
Istanbul Turkish Pizza - Kebap - Grill - Specialità Turche a Lodi,1,5,Via Lodino. 87. 26900 Lodi LO,45.3172167,9.5061738,Fast food restaurant,Monday:Closed .Tuesday:9 AM–12 AM .Wednesday:9 AM–12 AM .Thursday:9 AM–12 AM .Friday:9 AM–12 AM .Saturday:9 AM–12 AM .Sunday:9 AM–12 AM ,Delivery & Takeaway & Dine-in
Istanbul Turkish Pizza - Kebap - Grill - Specialità Turche a Lodi,1,5,Via Lodino. 87. 26900 Lodi LO,45.3172167,9.5061738,Fast food restaurant,Monday:Closed .Tuesday:9 AM–12 AM .Wednesday:9 AM–12 AM .Thursday:9 AM–12 AM .Friday:9 AM–12 AM .Saturday:9 AM–12 AM .Sunday:9 AM–12 AM ,Delivery & Takeaway & Dine-in
Baffo Young,1,5,Via Castelfidardo. 26900 Lodi LO,45.3113117,9.5016941,Pizza restaurant,not provided,Delivery & Takeaway & Dine-in
Baffo Young,1,5,Via Castelfidardo. 26900 Lodi LO,45.3113117,9.5016941,Pizza restaurant,not provided,Delivery & Takeaway & Dine-in
Dodici Dodici Food Boutique,1,5,Via Gaffurio. 22. 26900 Lodi LO,45.3132737,9.5045334,Bar,Monday:7:30 AM–11 PM .Tuesday:7:30 AM–11 PM .Wednesday:7:30 AM–9 PM .Thursday:7:30 AM–11 PM .Friday:7:30 AM–11 PM .Saturday:7:30 AM–11 PM .Sunday:7:30 AM–11 PM ,Dine-in
Baffo Young,1,5,Via Castelfidardo. 26900 Lodi LO,45.3113117,9.5016941,Pizza restaurant,not provided,Delivery & Takeaway & Dine-in
Bar del las piazza,1,5,Viale Pavia. 14. 26900 Lodi LO,45.3077291,9.496468,Bar,not provided,Dine-in
Pisco bar Lodi,1,5,Via Lodivecchio. 21. 26900 Lodi LO,45.311548,9.4896733,Bar,Monday:Closed .Tuesday:7 AM–11:30 PM .Wednesday:7 AM–10:30 PM .Thursday:7 AM–10:30 PM .Friday:7 AM–12 AM .Saturday:8 AM–12 AM .Sunday:8 AM–12 AM ,Dine-in & Delivery
Romeo Sas,10,4.9,Via Gaffurio. 11. 26900 Lodi LO,45.3133508,9.5042669,Restaurant,Monday:12–2:30 PM .Tuesday:12–2:30 PM & 7–10 PM .Wednesday:12–2:30 PM & 7–10 PM .Thursday:12–2:30 PM & 7–10 PM .Friday:12–2:30 PM & 7–10 PM .Saturday:12–2:30 PM & 7–10 PM .Sunday:12–2:30 PM & 7–10 PM ,Takeaway & Dine-in
Romeo Sas,10,4.9,Via Gaffurio. 11. 26900 Lodi LO,45.3133508,9.5042669,Restaurant.Pizza restaurant,Monday:12–2:30 PM .Tuesday:12–2:30 PM & 7–10 PM .Wednesday:12–2:30 PM & 7–10 PM .Thursday:12–2:30 PM & 7–10 PM .Friday:12–2:30 PM & 7–10 PM .Saturday:12–2:30 PM & 7–10 PM .Sunday:12–2:30 PM & 7–10 PM ,Takeaway & Dine-in
Romeo Sas,10,4.9,Via Gaffurio. 11. 26900 Lodi LO,45.3133508,9.5042669,Restaurant.Pizza restaurant,Monday:12–2:30 PM .Tuesday:12–2:30 PM & 7–10 PM .Wednesday:12–2:30 PM & 7–10 PM .Thursday:12–2:30 PM & 7–10 PM .Friday:12–2:30 PM & 7–10 PM .Saturday:12–2:30 PM & 7–10 PM .Sunday:12–2:30 PM & 7–10 PM ,Takeaway & Dine-in
Romeo Sas,10,4.9,Via Gaffurio. 11. 26900 Lodi LO,45.3133508,9.5042669,Restaurant.Pizza restaurant,Monday:12–2:30 PM .Tuesday:12–2:30 PM & 7–10 PM .Wednesday:12–2:30 PM & 7–10 PM .Thursday:12–2:30 PM & 7–10 PM .Friday:12–2:30 PM & 7–10 PM .Saturday:12–2:30 PM & 7–10 PM .Sunday:12–2:30 PM & 7–10 PM ,Takeaway & Dine-in
Romeo Sas,10,4.9,Via Gaffurio. 11. 26900 Lodi LO,45.3133508,9.5042669,Restaurant.Pizza restaurant,Monday:12–2:30 PM .Tuesday:12–2:30 PM & 7–10 PM .Wednesday:12–2:30 PM & 7–10 PM .Thursday:12–2:30 PM & 7–10 PM .Friday:12–2:30 PM & 7–10 PM .Saturday:12–2:30 PM & 7–10 PM .Sunday:12–2:30 PM & 7–10 PM ,Takeaway & Dine-in
Romeo Sas,10,4.9,Via Gaffurio. 11. 26900 Lodi LO,45.3133508,9.5042669,Restaurant.Pizza restaurant,Monday:12–2:30 PM .Tuesday:12–2:30 PM & 7–10 PM .Wednesday:12–2:30 PM & 7–10 PM .Thursday:12–2:30 PM & 7–10 PM .Friday:12–2:30 PM & 7–10 PM .Saturday:12–2:30 PM & 7–10 PM .Sunday:12–2:30 PM & 7–10 PM ,Takeaway & Dine-in
Romeo Sas,10,4.9,Via Gaffurio. 11. 26900 Lodi LO,45.3133508,9.5042669,Restaurant.Pizza restaurant,Monday:12–2:30 PM .Tuesday:12–2:30 PM & 7–10 PM .Wednesday:12–2:30 PM & 7–10 PM .Thursday:12–2:30 PM & 7–10 PM .Friday:12–2:30 PM & 7–10 PM .Saturday:12–2:30 PM & 7–10 PM .Sunday:12–2:30 PM & 7–10 PM ,Takeaway & Dine-in
Natalin Bar,17,4.9,Via Marsala. 17. 26900 Lodi LO,45.3130436,9.5025883,Bar,Monday:7 AM–8 PM .Tuesday:7 AM–8 PM .Wednesday:7 AM–8 PM .Thursday:7 AM–8 PM .Friday:7 AM–8 PM .Saturday:7 AM–8 PM .Sunday:7:30 AM–1 PM ,Outdoor seating & Dine-in
Amatori Wasken Lodi,17,4.9,Piazzale degli Sport. 1. 26900 Lodi LO,45.2984275,9.5051374,Hockey club,not provided,not provided
Amatori Wasken Lodi,17,4.9,Piazzale degli Sport. 1. 26900 Lodi LO,45.2984275,9.5051374,Hockey club,not provided,not provided
The Lab - Drink&Play,70,4.9,Via Guido Rossa. 12. 26900 Lodi LO,45.2988412,9.4977655,Bar,Monday:Closed .Tuesday:Closed .Wednesday:5 PM–1 AM .Thursday:5 PM–1 AM .Friday:5 PM–2 AM .Saturday:5 PM–2 AM .Sunday:5 PM–1 AM ,Takeaway & Dine-in & Delivery
The Lab - Drink&Play,70,4.9,Via Guido Rossa. 12. 26900 Lodi LO,45.2988412,9.4977655,Bar.Game store.Night club.Toy library,Monday:Closed .Tuesday:Closed .Wednesday:5 PM–1 AM .Thursday:5 PM–1 AM .Friday:5 PM–2 AM .Saturday:5 PM–2 AM .Sunday:5 PM–1 AM ,Takeaway & Dine-in & Delivery
